Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCAAW1134219,A901039203536657,TCAAW1134219,"Calm",none,none,"Relaxing Music",none,"","",,"",
TCAAR1028287,A563341241975282,TCAAR1028287,"Calm Focus",none,none,"Reading and Study Music",none,"","",,"",
TCAAU1163949,A625251863672070,TCAAU1163949,"Calm Music",none,none,"Deep Relaxation",none,"","",,"",
TCAAR1067183,A903939383916968,TCAAR1067183,"Calm Sounds Of Nature With Piano",none,none,"Relaxation and Meditation",none,"","",,"",
USTCG1078511,A965267003222635,USTCG1078511,"Calming Crickets At Night",none,none,"Crickets",none,"","",,"",
TCAAR1001182,A103527801400712,TCAAR1001182,"Calm Waters",none,none,"Reiki",none,"","",,"",
TCABB1127805,A964050022663202,TCABB1127805,"Calming Flute",none,none,"Meditation",none,"","",,"",
USTC60810366,A936719862590636,USTC60810366,"Calming Meditation",none,none,"Ahanu Sleep Music",none,"","",,"",
USTCG1073975,A925681857117458,USTCG1073975,"Calming Music",none,none,"Spa, Relaxation and Dreams",none,"","",,"",
TCABS1324834,A810834591191524,TCABS1324834,"Calming Music",none,859711672231,"Michael Silverman",Moods,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAX1155662,A528960063548473,TCAAX1155662,"Calming Nature Sounds",none,none,"Sounds of Nature",none,"","",,"",
TCAAR1071706,A349124664151006,TCAAR1071706,"Calming Ocean Waves And Rain Sounds",none,none,"Nature Sounds",none,"","",,"",
USTCG1072293,A933716636461552,USTCG1072293,"Calming Piano Music",none,none,"Relaxing Piano Music Consort",none,"","",,"",
USTCG1064226,A836268232892931,USTCG1064226,"Calming Solo Piano Blues Improv",none,none,"Yoga Jazz Music",none,"","",,"",
USTCG1094799,A107643452717855,USTCG1094799,"Calming Song",none,none,"Calming Piano Music",none,"","",,"",
TCAAW1147796,A123707084550553,TCAAW1147796,"Calming Touch",none,none,"Massage",none,"","",,"",
TCAAR1034475,A329875471192069,TCAAR1034475,"Calming Sounds Of Crickets For Baby To Sleep",none,none,"Nature Sounds and Lullabies for Baby Sleep",none,"","",,"",
TCAAU1168982,A766426679962875,TCAAU1168982,"Calming Sounds",none,none,"Deep Meditation",none,"","",,"",
TCAAR1010512,A702196349176921,TCAAR1010512,"Calypso",none,none,"Jamaican Reggae Party Crew",none,"","",,"",
