Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Album,Genre,Ownership,Ratio,Match Policy,Refrence File
US2S70419002,WQqDlgRBk-E,US2S70419002,"Questions",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419001,A822239422302471,US2S70419001,"Da Antidote",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419003,A364609271401477,US2S70419003,"Long Awaited",none,659457201920,"Lootpack, Dilated Peoples",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419004,A712308223059635,US2S70419004,"B-Boy Theme",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419005,A440321658365227,US2S70419005,"Whenimondamic",none,881034747136,"Lootpack",Stones Throw : 10 Years,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419006,A218780319013077,US2S70419006,"The Anthem",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419007,A852226558756002,US2S70419007,"Level Zero",none,659457201920,"Lootpack, Oh No, Medaphor",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419008,A952221705508739,US2S70419008,"Crate Diggin'",none,none,"Lootpack",none,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",,"",no status
US2S70419008,A361643625064665,US2S70419008,"Crate Diggin'",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419009,A313836867777949,US2S70419009,"Law Of Physics",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419010,A536053505532661,US2S70419010,"Frenz Vs. Endz",none,659457201920,"Lootpack, Kazi",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419011,A629501035655299,US2S70419011,"Interview With Kurt",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419012,A148871379575437,US2S70419012,"Speaker Smashin'",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419013,A100001729777392,US2S70419013,"New Year's Resolution",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419014,A340802536393793,US2S70419014,"Answers",none,659457201920,"Lootpack, Quasimoto",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419015,A701554755931229,US2S70419015,"Likwit Fusion",none,659457201920,"Lootpack, Alkaholiks, Defari",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419016,A421320841679656,US2S70419016,"Hityawitdat",none,none,"Lootpack",none,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",,"",no status
US2S70419016,A452502800286377,US2S70419016,"Hityawitdat",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419017,A307584866157073,US2S70419017,"Verbal Experiments",none,659457201920,"Lootpack, God's Gift",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419018,A553727047915051,US2S70419018,"Stylewild",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419019,A328840423574289,US2S70419019,"Weededed",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419020,A363727142192274,US2S70419020,"20 Questions",none,659457201920,"Lootpack, Quasimoto",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419021,A305310305528298,US2S70419021,"Break Dat Party",none,659457201920,"Lootpack, Declaime",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419022,A430077821040686,US2S70419022,"Wanna Test",none,659457201920,"Lootpack, Medaphor",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419023,A460319458703499,US2S70419023,"Episodes",none,659457201920,"Lootpack, Kazi, God's Gift, Declaime, Oh No, Medaphor",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419024,A440038742973593,US2S70419024,"Outro",none,659457201920,"Lootpack",Soundpieces: Da Antidote,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70425001,A448131457765749,US2S70425001,"Welcome To Violence",none,659457202521,"Quasimoto",The Unseen,Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
