Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCAAR1043830,A120142803312571,TCAAR1043830,"#1S In The Sun",none,none,"Jazz Essentials",none,"","",unknown,"",
TCAAZ1185017,A751005058388375,TCAAZ1185017,"??? Lullaby",none,none,"Asian Lullabies",none,"","",unknown,"",
USTCG1078614,A326674399088309,USTCG1078614,"Ocean Wave Sounds",none,859704230998,"Ocean Wave Sounds",Moods,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAT1087781,A322197446177060,TCAAT1087781,"100 Piano Classics",none,none,"100 Piano Classics",none,"","",unknown,"",
TCAAX1113189,A558582704542031,TCAAX1113189,"2010",none,none,"Dubstep Consort",none,"","",unknown,"",
TCAAX1113191,A746400085386522,TCAAX1113191,"2011",none,none,"Dubstep Consort",none,"","",unknown,"",
TCAAU1135195,A924379694299838,TCAAU1135195,"42Nd Street",none,none,"Romantic Dinner Party Music",none,"","",unknown,"",
TCAAR1072648,A110036837918877,TCAAR1071591,"Ocean's Edge",none,859704499111,"Nature Sounds & Native American Flute for Relaxing Sleep, Massage, Yoga & Spas",World,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAU1173549,A816021462207937,TCAAU1173549,"60 Inch Tam Tam For Zen Meditation",none,none,"Zen Meditation",none,"","",unknown,"",
TCAAT1084099,A751637312417408,TCAAT1084099,"7 Chakras",none,none,"Yoga and Chakra Flutes",none,"","",unknown,"",
TCABB1134744,A340052044948053,TCABB1134744,"A Band Of Ghouls",none,none,"Scary Halloween Music",none,"","",unknown,"",
TCAAW1157632,A310547132777709,TCAAW1157632,"A Better Day",none,none,"Inspirational Piano Music",Instrumental,"","",unknown,"",
TCAAY1193020,A466248048254425,TCAAY1193020,"A Chakra Meditation",none,none,"Meditation",none,"","",unknown,"",
TCAAY1193021,A604206407835566,TCAAY1193021,"A Chakra Meditation No. 2",none,none,"Meditation",none,"","",unknown,"",
TCAAS1094481,A461569183935687,TCAAS1094481,"A Christmas Carol",none,none,"Christmas Angels",none,"","",unknown,"",
TCAAR1094885,A465377105706511,TCAAR1094885,"A Day In The Forest",none,none,"Michael Silverman",none,"","",unknown,"",
TCAAR1092814,A972732292237089,TCAAR1092814,"A Day To Remember",none,none,"Piano Love Songs",none,"","",unknown,"",
TCAAS1094489,A312322856092521,TCAAS1094489,"A Dream On Christmas Morning",none,none,"Christmas Angels",none,"","",unknown,"",
USTCG1051111,A539455569747203,USTCG1051111,"A Great Day In Harlem",none,none,"Jazz Connection",none,"","",unknown,"",
USTCF1097779,A964639888820005,USTCF1097779,"A Little Bit of This",none,859703981594,"Rob Silverman",Jazz,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCD1077352,A210134326502844,USTCD1077352,"A Little Night Music",none,none,"Nursery Rhymes and Lullabies",none,"","",unknown,"",
USTC60811435,A737907161086162,USTC60811435,"A Little Night Music By Mozart",none,none,"All Time Favorite Children's Songs",none,"","",unknown,"",
USTCD1055878,A617078310925264,USTCD1055878,"A Little Night Rock",none,none,"Jazz Rock Fusion",none,"","",unknown,"",
USTCD1000206,A818593704112397,USTCD1000206,"A Lullaby By Bach",none,none,"Smart Baby Lullaby",none,"","",unknown,"",
TCAAX1141755,A176284591701260,TCAAX1141755,"A New Age For Man",none,none,"Cousteau: New Age Piano",none,"","",unknown,"",
TCAAU1176881,A539168100185357,TCAAU1176881,"A New Day",none,none,"Recovery: Relaxation, Meditation and Yoga Mus",none,"","",unknown,"",
TCAAW1152211,A348773664234206,TCAAW1152211,"A New You",none,none,"Yoga Class",none,"","",unknown,"",
TCABS1324795,A777779222393200,TCABS1324795,"A New You",none,859711672231,"Michael Silverman",Moods,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAR1067187,A658406136273850,TCAAR1067187,"A Relaxing Morning At The Lake For Relaxation, Meditation An",none,none,"Relaxation and Meditation",none,"","",unknown,"",
TCAAR1044066,A468404693286409,TCAAR1044066,"A Smooth Jazz Nightlife",none,none,"Smooth Jazz Crusaders, Smooth Jazz Crusaders,",none,"","",unknown,"",
USTCB0953570,A163010571420629,USTCB0953570,"A Walk In The Forest",none,none,"Michael Silverman",none,"","",unknown,"",
TCAAY1110918,A364588339397555,TCAAY1110918,"A Work In Progress",none,none,"Autumn Hill Production Music Library",none,"","",unknown,"",
USTCD1062321,A242479276579560,USTCD1062321,"Abide With Me",none,none,"Michael Silverman",none,"","",unknown,"",
TCAAY1112187,A723648604213162,TCAAY1112187,"Abs Workout",none,none,"Workout Hits",none,"","",unknown,"",no status
TCAAU1122339,A614279283713702,TCAAU1122339,"Absolute Sleep",none,none,"Your Baby Sleep Help",none,"","",unknown,"",
TCAAR1078594,A372919288487118,TCAAR1078594,"Absolute Sleep Music",none,none,"Deep Sleep",none,"","",unknown,"",
TCAAS1050514,A969301604279188,TCAAS1050514,"Absolution",none,none,"Jesus Christ",none,"","",unknown,"",
TCAAU1177042,A768574247435449,TCAAU1177042,"Academy",none,none,"Chinese Music",none,"","",unknown,"",
TCAAU1106537,A403920285709332,TCAAU1106537,"Acapella",none,none,"Acapella",none,"","",unknown,"",
USTCD1086988,A410726034512197,USTCD1086988,"Acceptance",none,none,"Music Therapy Center of Creve Couer",none,"","",unknown,"",
USTC60810129,A863281309883048,USTC60810129,"Acoustic Guitar Music for Massage",none,none,"Ahanu Music for Spa, Massage, Meditation, Tai Chi and Relaxation",none,"","",unknown,"",
TCAAU1120499,A146299937483577,TCAAU1120499,"Across The Sea",none,none,"World Music For The New Age",none,"","",unknown,"",
USTCE1092100,A906959886658556,USTCE1092100,"Adagio #2",none,none,"Michael Silverman",none,"","",unknown,"",
USTCE1093863,A165622436767599,USTCE1093863,"Adagio #3",none,none,"Michael Silverman",none,"","",unknown,"",
USTCD1095118,A835059543929991,USTCD1095118,"Adagio",none,none,"Michael Silverman and the Debussy Consort",none,"","",unknown,"",
USTCG1094323,A848059653307792,USTCG1094323,"Adagio For Balances",none,none,"Ballet L'ecole",none,"","",unknown,"",
USTCE1093861,A604995337189977,USTCE1093861,"Adagio #4",none,none,"Michael Silverman",none,"","",unknown,"",
USTCF1078815,A405198121486021,USTCF1078815,"Adagio For Hannah",none,none,"Michael Silverman",none,"","",unknown,"",
USTCG1094324,A459726928357864,USTCG1094324,"Adagio For Ballet",none,none,"Ballet L'ecole",none,"","",unknown,"",
TCAAU1136821,A427837868193995,TCAAU1136821,"Adagio No. 2",none,none,"Relaxing Classical Piano Music",none,"","",unknown,"",
USTCG1070337,A813682711094888,USTCG1070337,"Adagio Part 2",none,none,"New Age Piano Masters",none,"","",unknown,"",
USTCB0951443,A422429579028508,USTCB0951443,"Adagio Piano",none,none,"Michael Silverman",none,"","",unknown,"",
USTCG1094215,A105230209436024,USTCG1094215,"Adagio Pirouette - Ludwig Van Beethoven - Moonlight Sonata F",none,none,"Ballet L'ecole",none,"","",unknown,"",
TCAAU1176879,A629252410885812,TCAAU1176879,"Addiction Recovery",none,none,"Recovery: Relaxation, Meditation and Yoga Mus",none,"","",unknown,"",
TCAAT1056424,A641863809256553,TCAAT1056424,"Adeste Fidelis (O, Come All Ye Faithful)",none,none,"Adeste Fidelis",none,"","",unknown,"",
TCAAS1003185,A755275404602251,TCAAS1003185,"Adrican Beats - Bongos",none,none,"Soukouss Ta: African Drums and Music",none,"","",unknown,"",
TCABB1100789,A816882556576821,TCABB1100789,"Adventure",none,none,"Tantric Massage",none,"","",unknown,"",
TCAAY1124335,A570120095568291,TCAAY1124335,"Aerobics",none,none,"Work Out Music",Other,"","",unknown,"",
USTCD1086987,A559398428897016,USTCD1086987,"Affirmation",none,none,"Music Therapy Center of Creve Couer",none,"","",unknown,"",
USTC00989824,A670468169763613,USTC00989824,"Affirmation: Weight Loss",none,none,"Weight Loss Specialists",none,"","",unknown,"",
