Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
USTC30718767,A506568637099875,USTC30718767,"Gibberish",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718748,A614213064550693,USTC30718748,"Security Alert",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718749,A827534453714984,USTC30718749,"Paris",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718750,A503199979739424,USTC30718750,"Starbucks",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718751,A348799907487432,USTC30718751,"Why I'm Traveling",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718752,A732708561107327,USTC30718752,"Home Depot",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718753,A931342763372779,USTC30718753,"Toilet Paper Hat",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718754,A360290335651416,USTC30718754,"Learning My Lesson",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718755,A113259552320387,USTC30718755,"Tied to the Bed",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718757,A352032588837202,USTC30718757,"Married People",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718758,A637875129193237,USTC30718758,"Mom & Dad",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718759,A429580117790744,USTC30718759,"Relatives",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718760,A923910952978089,USTC30718760,"My Grandfather",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718761,A549569910886966,USTC30718761,"Hyper Kid",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30718762,A544608466035676,USTC30718762,"Bonus Track: Mosley Live in Studio",none,708356205420,"Ralph Harris",Other,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30740274,A651357847792498,USTC30740274,"Shaven",none,859700384138,"Ariel Pink's Haunted Graffiti",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30740275,A662161549021725,USTC30740275,"Spires in the Snow",none,859700384138,"Ariel Pink's Haunted Graffiti",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30740277,A510052051298628,USTC30740277,"Jack Off",none,859700384138,"Ariel Pink's Haunted Graffiti",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30740278,A402596277499218,USTC30740278,"Ghost Town",none,859700384138,"Ariel Pink's Haunted Graffiti",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30740280,A620973361833076,USTC30740280,"Crusades",none,859700384138,"Ariel Pink's Haunted Graffiti",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30740281,A728991126757485,USTC30740281,"Tractor Man",none,859700384138,"Ariel Pink's Haunted Graffiti",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30740279,A569476574060148,USTC30740279,"Crash Crash on the Drummer",none,859700384138,"Ariel Pink's Haunted Graffiti",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTC30740282,A626376132953198,USTC30740282,"Underground",none,859700384138,"Ariel Pink's Haunted Graffiti",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
