Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
USTC50845299,A418735364101958,USTC50845299,"\"Moonlight Sonata\" Adagio",none,none,"The Relaxing Classical Music Collection",none,"","",unknown,"",
USTC80983319,A357625619015298,USTC80983319,"A Fifth Of Beethoven (From Symphony No. 5)",none,none,"Bach to the Future",none,"","",unknown,"",
USTCB0957998,A641933177517339,USTCB0957998,"A Mighty Fortress Is Our God",none,none,"Michael Silverman",none,"","",unknown,"",
TCAAU1171206,A906200904490133,TCAAU1171206,"A Mighty Fortress Is Our Lord",none,none,"Relaxing Piano Music: Greatest Hymns: Best Lo",none,"","",unknown,"",
TCAAY1108728,A376260672567073,TCAAY1108728,"A-B-C (Alphabet Song)",none,none,"Kid's Songs",none,"","",unknown,"",
TCAAS1082671,A659369115472233,TCAAS1082671,"About Distant Lands and People",none,none,"Christmas Songs",none,"","",unknown,"",
USTCG1094206,A675500952429995,USTCG1094206,"Adagio Ballet - Air On A G String",none,none,"Ballet L'ecole",none,"","",unknown,"",
TCAAS1070105,A607156910499631,TCAAS1070105,"Air (Bach)",none,none,"Michael Silverman Jazz Piano Trio",none,"","",unknown,"",
USTC50862324,A659776034355397,USTC50862324,"Air On a G String",none,none,"Johann Sebastian Bach",none,"","",unknown,"",
USTCB0957990,A544805603417374,USTCB0957990,"Alas, And Did My Savior Bleed",none,none,"Michael Silverman",none,"","",unknown,"",
TCAAR1001371,A234883905343059,TCAAR1001371,"All Creatures Of Our God",none,none,"Worship Music Group",none,"","",unknown,"",
USTCB0957991,A271999418300410,USTCB0957991,"All Creatures Of Our God And King",none,none,"Michael Silverman",none,"","",unknown,"",
USTCD1062324,A769418579849898,USTCD1062324,"All Glory, Laud And Honor",none,none,"Michael Silverman",none,"","",unknown,"",
TCAAS1086772,A474421226841470,TCAAS1086772,"All Hail The Power Of Jesus",none,none,"Piano Music for Jesus",none,"","",unknown,"",
USTCB0957992,A119127344689612,USTCB0957992,"All Hail The Power Of Jesus' Name",none,none,"Michael Silverman",none,"","",unknown,"",
TCAAR1001373,A857568528036188,TCAAR1001373,"All Hail The Power Of Our King",none,none,"Worship Music Group",none,"","",unknown,"",
TCAAR1000279,A803180088874849,TCAAR1000279,"All Hail The Power Of The King",none,none,"Lullabies and Children's Songs",none,"","",unknown,"",
USTCD1062327,A769469419438695,USTCD1062327,"All Things Bright And Beautiful",none,none,"Michael Silverman",none,"","",unknown,"",
USTCY0909168,A577177733819433,USTCY0909168,"Aloha",none,none,"Island Music Party Squad",none,"","",unknown,"",
USTC60811540,A536355324796175,USTC60811540,"none",none,none,"none",none,"","",unknown,"",
USTC60845301,A826286717180127,USTC60845301,"Amazing Grace",none,859700940648,"Relaxing Piano Music",Moods,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
USTCD1015152,A331211786174555,USTCD1015152,"America",none,none,"Classic Songs for Preschool Kids",none,"","",unknown,"",
TCAAR1007370,A444052780861084,TCAAR1007370,"America - My Country Tis Of Thee",none,none,"Michael Silverman",none,"","",unknown,"",
USTCD1077393,A338353243967806,USTCD1077393,"America, My Country Tis of Thee",none,none,"Nursery Rhymes and Lullabies",none,"","",unknown,"",
USTCD1077356,A735676112354272,USTCD1077356,"America the Beautiful",none,none,"Nursery Rhymes and Lullabies",none,"","",unknown,"",
USTCD1000211,A644343823008588,USTCD1000211,"An Invention By Bach",none,none,"Smart Baby Lullaby",none,"","",unknown,"",
TCAAS1082674,A138473263235853,TCAAS1082674,"Angels We Have Heard On High",none,none,"Christmas Songs",none,"","",unknown,"",
USTC50862375,A434881372687026,USTC50862375,"Arioso",none,none,"Johann Sebastian Bach",none,"","",unknown,"",
TCAAW1183604,A820777852128074,TCAAW1183604,"Asian Traditional Music",none,none,"Asian Traditional Music",none,"","",unknown,"",
TCAAW1183612,A859375457253221,TCAAW1183612,"Asian Traditional Music Ensemble",none,none,"Asian Traditional Music",none,"","",unknown,"",
TCAAS1069406,A171653343686104,TCAAS1069406,"Auld Lang Syne",none,none,"New Year's Eve Music",none,"","",unknown,"",
TCAAZ1168589,A421439351657934,TCAAZ1168589,"Asian Traditional Music No. 2",none,none,"Asian Lullabies",none,"","",unknown,"",
