Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCABR1387079,A168781107528728,TCABR1387079,"Good Girl and the Outlaw",none,859711581311,"Katie Wilbert",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1379028,A539898692652382,TCABS1379028,"Lost",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1379050,A506593057839198,TCABS1379050,"Guarded Light",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1379023,A373406655912598,TCABS1379023,"Wreck",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1379043,A645322493476767,TCABS1379043,"Never Betray",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1379025,A428240536705541,TCABS1379025,"Wash Away",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1377663,A209880796947645,TCABS1377663,"Piper",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1379047,A123852560187170,TCABS1379047,"Clear the Haze",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1379020,A552857279895959,TCABS1379020,"Nobody Knows You",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1379040,A344264922726777,TCABS1379040,"Part of Me",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1377665,A831837783045390,TCABS1377665,"Stay",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1377664,A706851843332120,TCABS1377664,"Blind",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1379045,A618374548625984,TCABS1379045,"Inconspicuously You",none,859711811913,"Chris Lips",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1347540,A925900850394479,TCABU1415504,"Its OK",none,859712058881,"DOLLA BONE",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1498859,A558934358040842,TCABS1498852,"Mercy",none,859711814129,"Kevin Burdick",Rock,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
