Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
GBGSY0400036,4lCfbEXwrdw,GBVVQ1205329,"Must Be Love (feat. Smujji)",none,5055283425618,"FYA",Other,"Believe-100&Believe,UMG-100,100&Believe,UMG,theorchardmusic-100,100,100","Believe-include&Believe,UMG-include,exclude&Believe,UMG,theorchardmusic-include,exclude,include",,"SX&AQ&AX&TL&UM&MO&RS&MM&ML&MK&RW&MN&MG&ME&MD&MC&MA&MZ&MY&RE&MW&MV&MU&MT&MS&RO&MQ&MP&BB&BA&BF&BG&BD&BE&BJ&BH&BI&BN&BO&BM&BR&BS&BV&BW&BT&ZM&BZ&BY&SR&JO&JM&SY&TD&SZ&JE&SA&SC&SB&SE&SD&SG&SI&SH&SK&SJ&SM&SL&SO&SN&CA&CC&CD&CG&CF&CI&CH&CK&CM&CL&CO&CN&CR&CU&CV&CY&CX&CZ&KI&KH&KM&PY&TF&KN&PW&KE&LB&PR&PS&KY&PM&PN&KZ&PH&PK&PE&PF&KR&PA&KW&YE&MR&ST&HT&HU&HR&YT&HM&HN&HK&AI&AO&AN&AM&AL&AG&AF&AE&AD&AZ&DK&AS&AR&AW&AU&DM&VN&IR&IQ&UA&VI&VG&VE&VC&IS&VA&IE&ID&VU&IO&QA&IM&IL&OM&MH&NF&NG&NE&NC&NA&NO&NL&WF&ZW&NI&FO&NU&FJ&FK&NP&FI&IN&TG&NZ&WS&ZA&FM&MX&KG&TH&TJ&TK&GY&TM&TN&TO&GU&GT&GW&TC&GQ&GP&GS&GR&GM&GL&TZ&GN&GI&GH&KP&GE&GD&GG&GF&GA&TR&TV&TW&PG&TT&SV&GB&LA&DZ&LC&US&DJ&LI&LK&UZ&UY&UG&LR&LS&LT&LU&LV&DO&LY&DE&EG&EE&EC&EH&ET&ES&ER&NR&AT",TRUE
US34H0700028,A312156193623451,US34H0700028,"WANNA BE FREE",none,none,"none",none,"","",,"",no status
FR3P10900210,A634515397631802,FR3P10900210,"Reach For The Stars (feat. Annie C)",none,none,"Antoine Clamaran",none,"KontorNewMedia-100&KontorNewMedia,SonyBMG-100,100","KontorNewMedia-include&KontorNewMedia,SonyBMG-include,include",,"",TRUE
GBD8L1000025,A234506276956459,GBD8L1000025,"Sweat (Original Mix) [feat. Elliotte Williams N'Dure]",none,4025858567631,"Kid Massive",Dance & Electronic,"DigDis-100","DigDis-exclude",,"",TRUE
AUCN30903415,A943848534462134,AUCN30903415,"BORN THIS WAY",none,none,"none",none,"","",,"",no status
AUCN30903196,A640280284256168,AUCN30903196,"Teenage Crime (City Kicks Remix Radio Edit)",none,none,"Weekend Warriors",none,"CentralStationRecs+user-100","CentralStationRecs+user-exclude",,"",no status
FR3P10800498,qqZzwFPnHZM,FR3P10800498,"Gold",none,none,"Clamaran Antoine;Antoine Clamaran",none,"dipiu-100&dipiu,blancoynegro-100,100&dipiu,blancoynegro,SonyBMG-100,100,100","dipiu-exclude&dipiu,blancoynegro-exclude,include&dipiu,blancoynegro,SonyBMG-exclude,include,include",,"",TRUE
FR3P10800450,c-ZbJWzV3Is,FR3P10800450,"Gold",none,none,"Antoine Clamaran",none,"SonyBMG-100","SonyBMG-include",,"",no status
FR3P10800451,3E1JppHooc8,FR3P10800451,"Gold",none,none,"Antoine Clamaran",none,"blancoynegro-100","blancoynegro-include",,"",TRUE
FR3P10800450,AuUo6AWz0nQ,FR3P10800450,"Gold",none,none,"Clamaran Antoine;Antoine Clamaran",none,"blancoynegro-100&blancoynegro,KontorNewMedia-100,100&blancoynegro,KontorNewMedia,SonyBMG-100,100,100","blancoynegro-include&blancoynegro,KontorNewMedia-include,include&blancoynegro,KontorNewMedia,SonyBMG-include,include,include",,"",TRUE
FR3P10800455,nMlC1J5QFmw,FR3P10800455,"Gold",none,none,"Antoine Clamaran",none,"blancoynegro-100","blancoynegro-include",,"",TRUE
FR3P10800490,FbwPVEMA4Bs,FR3P10800490,"Gold",none,none,"Antoine Clamaran",none,"blancoynegro-100","blancoynegro-include",,"",
FR3P10800457,J3OWxLYCsbI,FR3P10800457,"Gold",none,none,"Antoine Clamaran;Clamaran Antoine",none,"blancoynegro-100&blancoynegro,SonyBMG-100,100","blancoynegro-include&blancoynegro,SonyBMG-include,include",,"",TRUE
FR3P10800491,UKovduj26NA,FR3P10800491,"Gold (Thomas Gold Remix)",none,none,"Antoine Clamaran",Other,"blancoynegro-100","blancoynegro-include",,"",TRUE
FR3P10800493,sIpkoYunZtY,FR3P10800493,"Gold",none,none,"Antoine Clamaran",none,"blancoynegro-100","blancoynegro-include",,"",TRUE
FR3P10800458,inZrHVlCNkw,FR3P10800458,"Gold",none,none,"Antoine Clamaran",none,"blancoynegro-100","blancoynegro-include",,"",TRUE
FR3P10800454,yXsQEdT8MmY,FR3P10800454,"Gold",none,none,"Antoine Clamaran",none,"blancoynegro-100","blancoynegro-include",,"",TRUE
FR3P10800492,ygKySAPCItE,FR3P10800492,"Gold",none,none,"Antoine Clamaran",none,"blancoynegro-100","blancoynegro-include",,"",
FR3P10800453,TzoBU8kPwng,FR3P10800453,"Gold",none,none,"Clamaran Antoine;Antoine Clamaran",none,"blancoynegro-100&blancoynegro,SonyBMG-100,100","blancoynegro-include&blancoynegro,SonyBMG-include,include",,"",TRUE
FR3P10800452,pIEilSmzMsI,FR3P10800452,"Gold",none,888880937056,"Clamaran Antoine",Pop,"Base79_Music_affiliate-100&Base79_Music_affiliate,blancoynegro-100,100&Base79_Music_affiliate,blancoynegro,SonyBMG-100,100,100","Base79_Music_affiliate-include&Base79_Music_affiliate,blancoynegro-include,include&Base79_Music_affiliate,blancoynegro,SonyBMG-include,include,include",,"MX",TRUE
FR3P10800452,BMRPpTDNemc,FR3P10800452,"Gold (Chris Kaeser Dub Mix)",none,none,"Antoine Clamaran",Other,"blancoynegro-100","blancoynegro-include",,"",TRUE
FR3P10900210,A634515397631802,FR3P10900210,"Reach For The Stars (feat. Annie C)",none,none,"Antoine Clamaran",none,"KontorNewMedia-100&KontorNewMedia,SonyBMG-100,100","KontorNewMedia-include&KontorNewMedia,SonyBMG-include,include",,"",TRUE
FR3P10900212,IQPVLqVOano,FR3P10900212,"Reach For The Stars (Club Mix)",none,none,"Antoine Clamaran Feat. Annie C",none,"SonyBMG-100","SonyBMG-include",,"",TRUE
FR3P10900211,aoXwrX_m8Sk,FR3P10900211,"Reach For The Stars (Original Extended Mix)",none,none,"Antoine Clamaran Feat. Annie C",none,"SonyBMG-100","SonyBMG-include",,"",TRUE
FR3P10900213,vAza_o9JeQ8,FR3P10900213,"Reach For The Stars (E-Play Remix)",none,none,"Antoine Clamaran Feat. Annie C",none,"SonyBMG-100","SonyBMG-include",,"",TRUE
FR3P10900214,yDejhXfpRKs,FR3P10900214,"Reach For The Stars",none,884977242607,"Antoine Clamaran feat. Annie C.",Other,"SonyBMG-100","SonyBMG-include",,"",TRUE
GBZXR0900044,Mwz1q4SyBgs,GBZXR0900044,"Higher State feat. Jodie Connor",none,none,"Bailey,Jodie Connor",none,"","",,"",
GBD8L1000025,A234506276956459,GBD8L1000025,"Sweat (Original Mix) [feat. Elliotte Williams N'Dure]",none,4025858567631,"Kid Massive",Dance & Electronic,"DigDis-100","DigDis-exclude",,"",TRUE
GBD8L1000021,tZxfq3FhdMM,GBD8L1000021,"Melodrama",none,none,"Various",none,"","",,"",TRUE
GBD8L1000022,96YXCe7Z-Ac,GBD8L1000022,"Melodrama",none,none,"David Puentez",none,"","",,"",TRUE
GBD8L1000023,fQ4ABbSY7KE,GBD8L1000023,"Melodrama",none,none,"David Puentez",none,"","",,"",TRUE
GBD8L1000024,Husc5IdSJks,GBD8L1000024,"Melodrama",none,none,"David Puentez",none,"","",,"",TRUE
DEP981000053,A726493691470475,DEP981000053,"If You Could Read My Mind (Extended Mix)",none,4260057512994,"Ela Wardi",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
DEP981000050,A151078374728246,DEP981000050,"If You Could Read My Mind (Radio Edit)",none,4260057512994,"Ela Wardi",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
DEP981000052,A643403874564277,DEP981000052,"If You Could Read My Mind (Brew Ramson Radio Edit)",none,4260057512994,"Ela Wardi",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
DEP981000056,A529951723379616,DEP981000056,"If You Could Read My Mind (Bastian Harper New York Edit)",none,4260057512994,"Ela Wardi",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
DEP981000055,A673146310845621,DEP981000055,"If You Could Read My Mind (Falko Niestolik & BK Duke Instrumental Mix)",none,4260057512994,"Ela Wardi",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
US34H1001126,A721109876130904,US34H1001126,"All Eyes On Me",none,none,"Jameerah",none,"","",,"",no status
DEP981000057,A307967456100606,DEP981000057,"If You Could Read My Mind (Dorian K. Remix)",none,4260057512994,"Ela Wardi",Dance & Electronic,"KontorNewMedia-100","KontorNewMedia-include",,"",TRUE
