Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Genre,Ownership,Ratio,Match Policy,,Refrence File
TCABI1289738,A104232560786737,TCABI1289738,"101 Avtostrada M.O.C.K.B.A",none,none,"Kairal",none,"","",,"",no status
TCABI1285545,A700644194046274,TCABI1285545,"101 Avtostrada M.O.C.K.B.A",none,859708826760,"Kairal",Alternative & Punk,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABI1291538,A555246638071727,TCABI1291538,"101 Driven",none,none,"Kairal",none,"","",,"",no status
TCABL1383269,A225172423399994,TCABL1383269,"101 How 2 : Love",none,none,"24 : Kairal",none,"","",,"",no status
TCABK1254278,A153923699266981,TCABK1254278,"101 Ich Weiss Du Lebst Ich Weiss Du Lkebst Auch",none,none,"24 Kairal",none,"","",,"",no status
TCABL1383243,A537640277941045,TCABL1383243,"101  Know How 2 : Love",none,859709515557,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABW1408749,A554849266980721,TCABW1408749,"101 Skeletons",none,none,"Kairal",none,"","",,"",no status
TCABO1393237,A251590760768425,TCABO1393237,"11 Am (Feat. Best Friend)",none,none,"Kairal Tribut",none,"","",,"",no status
TCABS1378264,A401507959485855,TCABS1378264,"11:00 PM",none,none,"L.S.D Kairal",none,"","",,"",no status
TCABL1373080,A951601731450530,TCABL1373080,"110 Crude Missile",none,none,"Kairal",none,"","",,"",no status
TCABL1384448,A631695475728570,TCABL1384448,"1-1-0 Richtig",none,none,"24 : Kairal",none,"","",,"",no status
TCABO1347162,A451015351994087,TCABO1347162,"12 Pm",none,859710189617,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1384477,A559757275275095,TCABL1384477,"2 : Much",none,none,"Kairal",none,"","",,"",no status
TCABO1376751,A137613035667239,TCABO1376751,"⸪ 19",none,859710264567,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1373070,A513373212347978,TCABL1373070,"2 Much",none,none,"Kairal",none,"","",,"",no status
TCABN1391265,A540502136750637,TCABN1391265,"3 Am",none,859710033309,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABI1289476,A842745086599035,TCABI1289476,"6 A.M.",none,none,"Kairal",none,"","",,"",no status
TCABT1404140,A312742332609962,TCABT1404140,"6:00 AM",none,none,"Kairal & Friends",none,"","",,"",no status
TCABT1404187,A663389513080235,TCABT1404187,"7:00 PM",none,none,"Kairal & Friends",none,"","",,"",no status
TCABN1362895,A811037818809561,TCABN1362895,"7 Pm (Feat. Venudia)",none,none,"Kairal & Friends",none,"","",,"",no status
TCABK1251177,A774610039683757,TCABK1251177,"A A A O",none,none,"Kairal",none,"","",,"",no status
TCAAU1137630,A357013728285908,TCAAU1137630,"Adiosï¿œMi Amor",none,none,"Al Casagrande",none,"","",,"",no status
TCABJ1205599,A620291365986414,TCABJ1205599,"Adör (feat. Being Watched Now)",none,859708873078,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1327031,A716102995490104,TCABO1327031,"Adventure",none,859710134785,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABT1435042,A342251319011132,TCABT1435042,"After Gunfire",none,859711918766,"J-J-X",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABC1167121,A241032859077452,TCABC1167121,"Afterlife (feat. ⁂ )",none,859707326100,"Kairal",World,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABC1184562,A650259262836551,TCABC1184562,"Agape Apaché",none,859707372886,"Kairal",Gospel & Religious,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAW1175419,A463216519629946,TCAAW1175419,"Always On The Run",none,none,"Kairal",none,"","",,"",no status
TCABS1381029,A104531155072516,TCABS1381029,"Always On The Run",none,none,"J.J. Moodie",none,"","",,"",no status
TCABM1352416,A542208765449827,TCABM1352416,"Always12",none,859709686974,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABU1488610,A166674593083629,TCABU1488610,"Anderer Traum",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABB1189086,A758806409054645,TCABB1189086,"¡ɐndǝrs Sǝhǝn (feat. G.... Alvaro, Kairal 110 & Eu Only)",none,859707109123,"none",World,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABG1200321,A300634986977708,TCABG1200321,"Antipode",none,859708198805,"Kairal",Alternative & Punk,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABG1200363,A129167145763926,TCABG1200363,"Antipode 003",none,none,"Kairal",none,"","",,"",no status
TCABG1200440,A752651669474249,TCABG1200440,"Antipode 004",none,none,"Kairal",none,"","",,"",no status
TCABM1362555,A521947453754795,TCABM1362555,"Antipode 007 (Feat. Venudia)",none,none,"Kairal & Friends",none,"","",,"",no status
TCABS1376164,A150607208067095,TCABS1376164,"Archief",none,none,"L.S.D Kairal",none,"","",,"",no status
TCABT1404412,A626502476423971,TCABT1404412,"Atmospherica",none,none,"Kairal & Friends",none,"","",,"",no status
TCABM1350871,Item not in CMS
TCABU1488609,A723892216871375,TCABU1488609,"Bad Dreams",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABN1359419,A323873105074954,TCABN1359419,"Bad Talk",none,859709957951,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABU1422104,Item not in CMS
TCABO1326917,A548242280731273,TCABO1326917,"Bei Den Sieben Kindeln (feat. Kairal)",none,859710134501,"Johann Pachelbel",Dance & Electronic,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1376137,A212152537377175,TCABS1376137,"Berlin Rain",none,none,"L.S.D Kairal",none,"","",,"",no status
TCABU1441310,Item not in CMS
TCABO1395858,A505212095737959,TCABO1395858,"Best Friend",none,859710860950,"Kairal Tribut",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABU1483406,A137682820373721,TCABU1483406,"Blinde Passagiere",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1368862,A976863614618628,TCABM1368862,"Black & White",none,859709725536,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1340719,A154315967864938,TCABM1340719,"Bombs & Blitze",none,859709658582,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABW1423764,A233480274775390,TCABW1423764,"Bonny",none,859712344915,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1397394,A864013457968868,TCABM1397394,"Brave New World",none,859709799056,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABU1441321,Item not in CMS
TCABO1347754,A959154750746255,TCABO1347754,"Breaking Bad",none,none,"Kairal",none,"","",,"",no status
TCABU1422679,Item not in CMS
TCABI1289692,A412639748889873,TCABI1289692,"Budokhan Code",none,none,"Kairal",none,"","",,"",no status
TCABB1124964,A541279083139089,TCABB1124964,"Burning With U (feat. Dadawah Kalesnykas)",none,859706942011,"Kairal",R&B,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1379392,A835944140191143,TCABO1379392,"C n N",none,859710271923,"Kairal Tribut",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABU1488616,A451069293101442,TCABU1488616,"Cape 69",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABU1441324,Item not in CMS
TCABA1186767,A548505196231652,TCABU1428276,"Passé Rouge",none,859712095374,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1373496,A476345822959518,TCABM1373496,"City Tiger +",none,859709737065,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABD1241807,A202329110479829,TCABD1241807,"Coffee & Cig",none,none,"Kairal",none,"","",,"",no status
TCABU1441317,Item not in CMS
TCABU1488605,A928870048806644,TCABU1488605,"Coffee to Go",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1373023,A854201715915434,TCABL1373023,"Coma",none,none,"Kairal",none,"","",,"",no status
TCABN1316926,A472584803448688,TCABN1316926,"Coming out (feat. ⸫)",none,859709849911,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABN1362118,A625538250720361,TCABN1362118,"Control Flight over Sirius",none,859709965802,"Kairal & Friends",Alternative & Punk,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABN1314372,A109301867424786,TCABN1314372,"Dead End IV",none,859709842189,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABM1343107,A455538144522815,TCABM1343107,"Coolin' down",none,859709663999,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1393226,A439681062258551,TCABO1393226,"Der Freie Wille I",none,none,"Kairal Tribut",none,"","",,"",no status
TCABO1344903,A760800559925412,TCABO1344903,"Der Freie Wille II",none,859710183820,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1373024,A163205289416231,TCABL1373024,"Der/Rick",none,none,"Kairal",none,"","",,"",no status
TCABO1393428,A376782718009759,TCABO1393428,"Deutsches Gift",none,none,"Kairal Tribut",none,"","",,"",no status
TCABS1370016,A632877319674685,TCABS1370016,"D-Land Elysium",none,859711792090,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1372901,A924284261455795,TCABO1372901,"Dont",none,859710254902,"Kairal Tribut",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1381072,A506100553656020,TCABL1381072,"Don'T Cry",none,none,"24 : Kairal",none,"","",,"",no status
TCABU1450416,A518206069020614,TCABU1450416,"Double Trouble",none,859712154477,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1373033,A417806756182615,TCABL1373033,"Drama",none,none,"Kairal",none,"","",,"",no status
TCABW1408786,A538306539623304,TCABW1408786,"Drama On Monday Morning",none,none,"Kairal",none,"","",,"",no status
TCABN1362109,A257433982539446,TCABN1362109,"Drive Angry",none,859709965741,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1337706,A255337702217003,TCABO1337706,"Dr‡Ven by 101",none,859710163020,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABL1384444,A437985967327792,TCABL1384444,"Dusty Desert Walking",none,none,"24 : Kairal",none,"","",,"",no status
TCABD1251701,A325678574795392,TCABD1251701,"Early Morn",none,none,"The Ping Sisters",none,"","",,"",no status
TCABU1444362,A750982162536133,TCABU1444362,"Face the Prob",none,859712137715,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABU1488608,A439743320469499,TCABU1488608,"Faces of Istanbul",none,859712243744,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABS1373745,A475826804083728,TCABS1373745,"Fahrenheit",none,859711802485,"Kairal",Alternative & Punk,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABN1392965,A949682770376646,TCABN1392965,"False Input",none,859710038007,"24 Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCAAU1187206,A331962806011863,TCAAU1187206,"Faraway Vamp",none,none,"J.J. Moody",none,"","",,"",no status
TCABO1395999,A340363980999217,TCABT1435104,"Fate of a Fool",none,859711918766,"J-J-X",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABW1408814,A318369764216387,TCABW1408814,"Fauler Zauber Chi",none,none,"Kairal",none,"","",,"",no status
TCABC1173326,A455600943004371,TCABC1173326,"Few Days",none,none,"Kairal",none,"","",,"",no status
TCABM1386677,A564289678023793,TCABM1386677,"Finale Grande",none,859709772332,"Kairal",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
TCABO1341673,A537879962403915,TCABO1341673,"Flieg⋮",none,859710174316,"Kairal Tribut",Pop,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
