Original,Asset ID,ISRC,Title,Custom ID,UPC,Artist,Album,Genre,Ownership,Ratio,Match Policy,,Refrence File
US2S70419001,A822239422302471,US2S70419001,"Da Antidote",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419002,WQqDlgRBk-E,US2S70419002,"Questions",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419003,A364609271401477,US2S70419003,"Long Awaited",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Dilated Peoples",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419004,A712308223059635,US2S70419004,"B-Boy Theme",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419005,A440321658365227,US2S70419005,"Whenimondamic",Stones Throw : 10 Years,none,881034747136,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419006,A218780319013077,US2S70419006,"The Anthem",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419007,A852226558756002,US2S70419007,"Level Zero",Soundpieces: Da Antidote,none,659457201920,"Lootpack, Oh No, Medaphor",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419008,A952221705508739,US2S70419008,"Crate Diggin'",none,none,none,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",,"",no status
US2S70419008,A361643625064665,US2S70419008,"Crate Diggin'",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
US2S70419009,A313836867777949,US2S70419009,"Law Of Physics",Soundpieces: Da Antidote,none,659457201920,"Lootpack",Hip Hop & Rap,"Indmusic-100","Indmusic-exclude",monetize,"",TRUE
